gvkey,conm,fyear,xrd,ni,at,sale,siccd,dlc,dltt
003734,DANA INC,2018,103.0,427.0,5918.0,8143.0,3714,28.0,1755.0
003735,DANAHER CORP,2018,1231.2,2650.9,47832.5,19893.0,3826,51.8,9688.5
003761,DATA I/O CORP,2018,7.361,1.606,30.723,29.224,3825,0.0,0.0
003801,DAVEY TREE EXPERT CO,2018,,27.977,526.623,1024.791,700,23.859,158.425
003806,DAWSON GEOPHYSICAL CO,2018,,-24.407,150.685,154.156,1382,6.683,6.097
003813,TARGET CORP,2018,0.0,2937.0,41290.0,75356.0,5331,1218.0,12227.0
003814,DPL INC,2018,,70.1,1883.1,775.9,4911,103.6,1372.3
003835,DEERE & CO,2018,1657.6,2368.4,70108.0,36577.7,3523,15018.7,27237.4
003836,DEERE (JOHN) CAPITAL CORP,2018,,799.2,37665.5,2532.2,6153,11959.0,19432.2
003842,DVL INC,2018,0.0,-2.314,34.854,3.284,6799,3.851,4.82
003851,DELTA AIR LINES INC,2018,,3935.0,60266.0,44438.0,4512,2473.0,14054.0
003863,DELUXE CORP,2018,,149.63,2305.096,1998.025,2780,0.791,911.073
003897,DTE ENERGY CO,2018,,1120.0,36288.0,14212.0,4931,2108.0,12134.0
003905,COVISTA INC,2018,,33.769,2344.961,1231.211,8200,3.0,290.073
003908,DEWEY ELECTRONICS CORP,2018,0.013,0.246,3.646,4.567,3621,0.5,0.0
003937,PYXUS INTERNATIONAL INC,2018,,-70.467,1859.275,1801.593,5190,429.293,898.386
003946,DIEBOLD NIXDORF INC,2018,157.4,-568.7,4311.9,4578.6,3578,49.5,2190.0
003962,NORTECH SYSTEMS INC,2018,,0.166,59.96,113.37,3679,1.117,13.839
003964,DILLARDS INC  -CL A,2018,0.0,170.263,3431.369,6503.349,5311,1.214,567.235
003969,DIODES INC,2018,86.286,104.021,1526.371,1213.989,3674,38.949,187.184
003980,DISNEY (WALT) CO,2018,,12598.0,98598.0,59434.0,4888,3802.0,17226.0
004001,DIXIE GROUP INC,2018,,-21.384,252.778,405.033,2273,10.935,120.251
004016,DOLLAR GENERAL CORP,2018,0.0,1589.472,13204.038,25625.043,5331,1.95,2862.74
004029,DOMINION ENERGY INC,2018,,2447.0,77914.0,13581.0,4911,4031.0,31144.0
004036,DONALDSON CO INC,2018,59.9,180.3,1976.6,2741.2,3714,43.5,499.6
004040,DONNELLEY (R R) & SONS CO,2018,,-11.0,3640.8,6800.2,2750,216.2,1875.3
004045,DORCHESTER MINERALS  -LP,2018,,53.907,87.923,73.278,6792,0.0,0.0
004058,DOVER CORP,2018,143.033,570.267,8365.771,6992.118,,222.12,2953.241
004060,DUPONT DE NEMOURS INC,2018,3145.0,3844.0,188030.0,85977.0,2821,2802.0,37662.0
004066,OMNICOM GROUP INC,2018,,1326.4,24617.0,15290.2,7311,546.3,4473.0
004072,ASCENA RETAIL GROUP INC,2018,0.0,-39.7,3570.5,6578.3,5621,0.0,1328.7
004091,DUCOMMUN INC,2018,,9.035,648.143,629.307,3728,2.33,226.961
004093,DUKE ENERGY CORP,2018,,2666.0,145392.0,24521.0,4931,6816.0,51123.0
004094,DUN & BRADSTREET HOLDNGS INC,2018,,288.1,1820.9,1716.4,7323,17.0,1119.6
004108,FLOWSERVE CORP,2018,39.6,119.671,4616.277,3832.666,3561,68.218,1414.829
004115,DYCOM INDUSTRIES INC,2018,,62.907,2097.503,3127.7,1623,5.625,867.574
004124,DYNATRONICS CORP,2018,1.194,-1.602,42.054,64.415,3845,6.677,3.276
004130,DYNASIL CORP OF AMERICA,2018,0.823,1.76,31.532,40.681,3827,1.286,2.127
004145,REVVITY INC,2018,193.998,237.927,5975.522,2777.996,3826,14.856,1876.624
004186,EASTERN CO,2018,6.951,14.506,181.248,234.275,3420,2.325,26.35
004193,EASTGROUP PROPERTIES,2018,0.0,88.506,2131.705,300.548,6798,130.567,975.22
004194,EASTMAN KODAK CO,2018,48.0,-16.0,1511.0,1325.0,3577,396.0,5.0
004201,EATON VANCE CORP,2018,,381.938,3599.328,1702.249,6282,0.0,1492.686
004213,ECOLAB INC,2018,216.0,1429.1,20074.5,14668.2,2842,743.6,6301.6
004225,EDUCATIONAL DEVELOPMENT CORP,2018,0.0,6.678,69.266,118.811,5190,0.946,18.83
004241,EL PASO ELECTRIC CO,2018,,84.315,3628.502,903.603,4911,148.446,1285.98
004275,ELECTRO-SENSORS INC,2018,0.813,-0.01,13.275,7.495,3823,0.005,0.024
004292,ELECTR TELE-COMMUNCTN,2018,0.092,0.034,0.234,0.567,3661,0.03,0.0
004321,EMERSON ELECTRIC CO,2018,436.0,2203.0,20390.0,17408.0,3823,1623.0,3137.0
004322,EMERSON RADIO CORP,2018,,-2.437,41.861,8.982,3651,0.0,0.0
004341,SORL AUTO PARTS INC,2018,16.366,12.736,794.372,468.05,3714,239.081,14.429
004383,ATMOS ENERGY CORP,2018,,603.064,11874.437,3115.546,4924,1150.78,2493.665
004384,MARA HOLDINGS INC,2018,,-12.814,5.195,1.562,7374,0.999,0.0
004390,ENNIS INC,2018,,37.437,363.085,400.782,2761,0.0,30.0
004409,ENZON PHARMACEUTICALS -OLD,2018,0.0,5.849,15.51,6.918,2836,0.0,0.0
004412,VISKASE HOLDINGS INC,2018,5.808,-14.192,508.243,395.329,3089,5.159,267.417
004415,ENVIRONMENTAL TECTONICS CORP,2018,1.318,3.147,45.412,48.424,3728,0.0,12.359
004418,ENZO BIOCHEM INC,2018,3.21,-10.321,101.66,104.713,8071,0.197,0.353
004423,EQUIFAX INC,2018,,299.8,7153.2,3412.1,7323,4.9,2630.6
004430,EQT CORP,2018,,-2244.568,20721.344,4557.868,4923,704.39,4792.991
004448,ESCALADE INC,2018,1.5,20.442,149.527,175.78,3949,0.0,0.0
004450,ESPEY MFG & ELECTRONICS CORP,2018,0.018,3.076,36.716,32.518,3679,0.0,0.0
004460,ESTERLINE TECHNOLOGIES CORP,2018,90.869,69.458,3036.917,2040.132,3812,17.546,654.922
004462,NEWMARKET CORP,2018,140.289,234.734,1697.274,2289.675,2860,0.0,770.999
004467,EVANS & SUTHERLAND CMP CORP,2018,2.851,3.747,27.161,37.193,3679,0.237,1.303
004485,KINGSTONE COS INC,2018,,3.093,266.752,113.772,6331,0.0,29.295
004494,EXPEDITORS INTL WASH INC,2018,,618.199,3314.559,8138.365,4731,0.0,0.0
004497,DMC GLOBAL INC,2018,7.21,30.473,240.418,326.429,3390,3.125,38.23
004498,INSTEEL INDUSTRIES,2018,,36.266,329.534,453.217,3310,0.0,0.0
004503,EXXON MOBIL CORP,2018,1116.0,20840.0,346196.0,279332.0,2911,17258.0,20538.0
004510,FMC CORP,2018,291.5,502.1,9974.3,4727.8,2870,547.7,2179.0
004517,NEXTERA ENERGY INC,2018,,6638.0,103702.0,16727.0,4911,10930.0,26782.0
004579,FARMER BROS CO,2018,,-18.28,475.531,606.544,2090,89.977,0.058
004598,FEDEX CORP,2018,,540.0,54403.0,69693.0,4513,964.0,16617.0
004601,FEDERAL NATIONAL MORTGA ASSN,2018,,15959.0,3418318.0,118980.0,6111,24896.0,3367024.0
004605,FEDERAL REALTY INVESTMENT TR,2018,0.0,241.907,6289.644,912.98,6798,301.346,2927.858
